År;Mått;Region;Kön;Ålder;Antibiotika;J01CA04 Amoxicillin;J01CA08 Pivmecillinam;J01CE02 Fenoximetylpenicillin;J01CR02 Amoxicillin och betalaktamashämmare;J01DB Cefalosporiner, första generationen;J01DC Cefalosporiner, andra generationen;J01DD Cefalosporiner, tredje generationen;J01EA01 Trimetoprim;J01FA Makrolider;J01MA02 Ciprofloxacin;J01MA06 Norfloxacin;J01XE01 Nitrofurantoin
2017;Recept/1000 invånare;Riket;Båda könen;0­4;338,14;43,31;0,15;203,02;14,09;1,97;0,00;0,78;8,27;13,46;1,03;0,00;7,50
2017;Recept/1000 invånare;Riket;Båda könen;5­9;257,62;16,95;6,23;153,92;7,91;2,98;0,00;0,59;5,08;10,03;0,97;0,00;8,12
2017;Recept/1000 invånare;Riket;Båda könen;10­14;150,43;6,33;5,68;76,69;4,28;3,08;0,01;0,26;1,13;7,74;1,67;0,01;4,17
2017;Recept/1000 invånare;Riket;Båda könen;15­19;248,93;6,18;24,26;79,30;3,83;3,95;0,01;0,22;1,21;10,57;6,51;0,02;15,89
2017;Recept/1000 invånare;Riket;Båda könen;20­24;226,76;5,43;29,66;67,10;3,33;4,61;0,00;0,15;1,24;9,91;9,02;0,03;19,83
2017;Recept/1000 invånare;Riket;Båda könen;25­29;226,90;6,23;30,03;69,66;4,35;5,86;0,00;0,20;1,42;8,13;9,75;0,04;20,15
2017;Recept/1000 invånare;Riket;Båda könen;30­34;238,49;8,00;28,72;81,15;5,45;6,11;0,00;0,19;1,43;7,84;10,62;0,04;19,22
2017;Recept/1000 invånare;Riket;Båda könen;35­39;245,64;9,47;25,95;85,63;5,34;5,79;0,00;0,14;1,37;8,25;11,71;0,03;18,54
2017;Recept/1000 invånare;Riket;Båda könen;40­44;237,25;9,70;24,01;75,51;5,17;4,42;0,00;0,12;1,83;7,94;13,28;0,05;18,52
2017;Recept/1000 invånare;Riket;Båda könen;45­49;241,59;10,87;25,46;68,41;5,41;3,75;0,00;0,08;2,23;7,43;15,94;0,09;20,18
2017;Recept/1000 invånare;Riket;Båda könen;50­54;273,22;13,01;28,79;72,82;5,98;4,13;0,01;0,11;2,76;7,24;20,40;0,17;23,01
2017;Recept/1000 invånare;Riket;Båda könen;55­59;305,55;16,93;32,84;79,14;7,00;4,42;0,00;0,17;3,38;8,15;24,96;0,20;25,11
2017;Recept/1000 invånare;Riket;Båda könen;60­64;351,48;22,00;37,66;84,24;7,97;5,04;0,00;0,18;4,76;9,03;31,54;0,30;29,66
2017;Recept/1000 invånare;Riket;Båda könen;65­69;381,85;25,29;43,61;82,86;8,53;5,71;0,00;0,20;5,94;9,25;38,97;0,37;34,57
2017;Recept/1000 invånare;Riket;Båda könen;70­74;456,31;31,83;57,97;85,84;10,08;7,31;0,00;0,24;9,12;8,81;49,30;0,34;46,47
2017;Recept/1000 invånare;Riket;Båda könen;75­79;539,79;36,93;82,20;82,46;11,50;9,62;0,01;0,20;13,55;8,91;61,49;0,31;62,20
2017;Recept/1000 invånare;Riket;Båda könen;80­84;586,46;38,63;100,49;76,14;10,47;11,36;0,02;0,22;18,78;7,34;64,55;0,29;78,10
2017;Recept/1000 invånare;Riket;Båda könen;85+;678,55;36,42;124,94;72,49;9,78;14,99;0,01;0,53;37,49;5,90;67,17;0,20;102,05
2017;Recept/1000 invånare;Riket;Båda könen;0­85+;303,53;17,00;32,96;89,36;6,87;5,23;0,00;0,25;4,95;8,76;20,17;0,12;25,59
2017;Recept/1000 invånare;Stockholms län;Båda könen;0­4;392,55;63,24;0,05;227,53;18,06;1,51;0,00;1,00;8,63;14,10;1,50;0,00;8,10
